HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
West Ham,Sunderland,H,4.0,3.0,1.59,2.004,0.968,1.472,1
Hull,Chelsea,A,8.0,3.0,0.395,0.705,2.778,1.332,-1
Liverpool,Man United,A,1.0,4.0,2.642,1.352,2.802,1.362,-1
QPR,Everton,A,1.0,3.0,0.221,0.375,1.902,1.753,-1
Arsenal,Liverpool,H,10.0,2.0,2.76,1.498,2.709,1.561,1
Chelsea,Stoke,H,10.0,2.0,2.742,1.333,0.73,1.151,1
Everton,Southampton,H,1.0,2.0,2.096,1.858,1.124,1.251,1
Leicester,West Ham,H,7.0,7.0,0.852,0.876,1.576,1.808,1
Man United,Aston Villa,H,7.0,2.0,2.76,1.323,1.649,1.827,1
Swansea,Hull,H,4.0,1.0,0.661,0.827,0.36,0.657,1
West Brom,QPR,A,6.0,7.0,1.077,1.741,0.268,0.45,-1
Burnley,Tottenham,D,4.0,2.0,0.528,0.827,2.422,1.812,0
Sunderland,Newcastle,H,4.0,1.0,0.908,1.479,1.523,1.959,1
Crystal Palace,Man City,H,3.0,4.0,0.675,1.056,2.758,1.601,1
Aston Villa,QPR,D,7.0,5.0,1.376,1.717,0.268,0.45,0
Burnley,Arsenal,A,4.0,5.0,0.528,0.827,2.841,1.624,-1
Southampton,Hull,H,4.0,4.0,1.173,1.333,0.36,0.657,1
Sunderland,Crystal Palace,A,3.0,5.0,0.908,1.479,0.924,1.026,-1
Swansea,Everton,D,3.0,8.0,0.661,0.827,1.902,1.753,0
Tottenham,Aston Villa,A,3.0,3.0,2.402,1.766,1.649,1.827,-1
West Brom,Leicester,A,5.0,4.0,1.077,1.741,1.06,0.845,-1
West Ham,Stoke,D,3.0,2.0,1.59,2.004,0.73,1.151,0
Man United,Man City,H,7.0,3.0,2.76,1.323,2.758,1.601,1
QPR,Chelsea,A,4.0,1.0,0.221,0.375,2.778,1.332,-1
Liverpool,Newcastle,H,6.0,3.0,2.642,1.352,1.523,1.959,1
Chelsea,Man United,H,2.0,2.0,2.742,1.333,2.802,1.362,1
