HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
West Brom,Arsenal,H,1.0,3.0,1.077,1.741,2.841,1.624,1
Tottenham,West Ham,H,12.0,4.0,2.402,1.766,1.576,1.808,1
Crystal Palace,Sunderland,A,7.0,4.0,0.675,1.056,0.968,1.472,-1
Aston Villa,Watford,A,6.0,6.0,1.376,1.717,0.496,0.756,-1
Bournemouth,Everton,D,10.0,6.0,0.502,0.72,1.902,1.753,0
Crystal Palace,Newcastle,H,8.0,2.0,0.675,1.056,1.523,1.959,1
Leicester,Man United,D,3.0,2.0,0.852,0.876,2.802,1.362,0
Man City,Southampton,H,9.0,8.0,2.786,1.508,1.124,1.251,1
Sunderland,Stoke,H,5.0,3.0,0.908,1.479,0.73,1.151,1
Liverpool,Swansea,H,2.0,0.0,2.642,1.352,0.618,0.786,1
Norwich,Arsenal,D,2.0,3.0,0.524,0.812,2.841,1.624,0
Tottenham,Chelsea,D,4.0,1.0,2.402,1.766,2.778,1.332,0
West Ham,West Brom,D,6.0,3.0,1.59,2.004,1.041,1.498,0
Arsenal,Sunderland,H,7.0,4.0,2.76,1.498,0.968,1.472,1
Chelsea,Bournemouth,A,6.0,5.0,2.742,1.333,0.511,0.672,-1
Man United,West Ham,D,1.0,2.0,2.76,1.323,1.576,1.808,0
Southampton,Aston Villa,D,5.0,2.0,1.173,1.333,1.649,1.827,0
Stoke,Man City,H,4.0,4.0,0.915,1.036,2.758,1.601,1
